agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 1893,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-119750,,no,4740,2020-09-10T07:00,,,,9738.09,7643.00,173.09,562.70,54002.8192,624.0450,54002.8192,194.0000,27,1,0,1.000,1.000,REFUSED_ALL_FULL,9736.83,1.26,1,B_optimized_placement,0.5407,27,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 1894,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-201647,,no,4740,2020-09-10T07:00,,,,6668.76,4545.78,173.09,562.70,54002.8192,200.5325,54002.8192,194.0000,24,0,0,1.000,1.000,REFUSED_ALL_FULL,6639.61,29.15,1,B_optimized_placement,1.2349,24,18-24,MALE,0,unimpaired,0,0,0,0
Site 1895,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-112848,,no,4740,2020-09-10T07:00,,,,0.00,,173.09,562.70,54002.8192,0.0000,54002.8192,194.0000,69,0,0,1.000,1.000,UNREACHABLE,0.00,0.00,0,B_optimized_placement,1.3308,69,55-69,FEMALE,0,unimpaired,0,0,0,1
Site 1896,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-130217,,no,4740,2020-09-10T07:00,,,,12298.44,10180.80,173.09,562.70,54002.8192,323.3683,54002.8192,194.0000,26,0,1,1.000,1.000,REFUSED_ALL_FULL,12274.62,23.82,1,B_optimized_placement,1.1363,26,25-54,FEMALE,0,unimpaired,0,1,1,1
Site 1897,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-212194,OPT1,yes,4740,2020-09-10T07:00,4753,2020-09-10T07:13,13.0,1264.14,1194.02,17.26,112.10,1367.0500,12.9458,1367.0500,6.2333,52,0,0,1.000,1.000,SHELTERED,1194.02,70.12,0,B_optimized_placement,1.5074,52,25-54,MALE,0,unimpaired,0,0,0,0
Site 1898,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-145221,,no,4740,2020-09-10T07:00,,,,3602.09,1469.72,173.09,562.70,54002.8192,169.9075,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,3563.54,38.55,1,B_optimized_placement,1.1607,37,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 1899,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-123526,,no,4740,2020-09-10T07:00,,,,15470.69,13375.62,173.09,562.70,54002.8192,365.4950,54002.8192,194.0000,34,0,0,1.000,1.000,REFUSED_ALL_FULL,15469.44,1.25,1,B_optimized_placement,1.2251,34,25-54,MALE,0,unimpaired,0,0,0,0
Site 1900,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-112661,,no,4740,2020-09-10T07:00,,,,6325.14,4205.58,173.09,562.70,54002.8192,169.1458,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,6299.41,25.73,1,B_optimized_placement,1.4236,30,25-54,MALE,0,unimpaired,0,0,0,0
Site 1901,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-156387,,no,4740,2020-09-10T07:00,,,,17018.37,14914.94,173.09,562.70,54002.8192,347.9458,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,17008.77,9.60,1,B_optimized_placement,1.3890,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 1902,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-129857,,no,4740,2020-09-10T07:00,,,,12609.86,10487.82,173.09,562.70,54002.8192,329.8283,54002.8192,194.0000,54,0,1,1.000,1.000,REFUSED_ALL_FULL,12581.65,28.21,1,B_optimized_placement,1.1446,54,25-54,MALE,1,ambulant_impaired_no_aid,0,1,1,1
Site 1903,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,25-178853,,no,4740,2020-09-10T07:00,,,,14384.81,12264.84,173.09,562.70,54002.8192,257.7200,54002.8192,194.0000,69,0,0,1.000,1.000,REFUSED_ALL_FULL,14358.67,26.14,1,B_optimized_placement,1.5442,69,55-69,MALE,0,unimpaired,0,0,0,1
Site 1904,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149888,,no,4740,2020-09-10T07:00,,,,7994.94,5832.02,173.09,562.70,54002.8192,179.9892,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,7925.84,69.10,1,B_optimized_placement,1.5161,46,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 1905,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149995,,no,4740,2020-09-10T07:00,,,,4810.96,2668.12,173.09,562.70,54002.8192,175.2967,54002.8192,194.0000,25,1,1,1.000,1.000,REFUSED_ALL_FULL,4761.94,49.02,1,B_optimized_placement,1.2244,25,25-54,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1
Site 1906,sim-20260725-225245-seed44,ccad7b70fd659026bf1e9f796cd7ec0c8a1582e0,44,0c1d98308440,26-149840,,no,4740,2020-09-10T07:00,,,,16257.20,14130.03,173.09,562.70,54002.8192,863.2675,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,16223.86,33.34,1,B_optimized_placement,0.6273,46,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
