agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 816,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-102201,-122.672748,45.521323,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,29,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.5394,29,18-44,FEMALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,0.836657,0,0,0,0
Site 817,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,26-149803,-122.580086,45.531086,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,45,0,1,1.000,1.000,PRE_EVAC,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.2703,45,45-64,MALE,0,unimpaired,0,1,1,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,1,0,0,0,0,-0.695379,0,0,0,0
Site 818,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,26-119355,-122.681757,45.528997,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,42,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.8460,42,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-0.654162,0,0,0,0
Site 819,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-156157,-122.552533,45.546815,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,45,1,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.3002,45,45-64,MALE,0,unimpaired,1,0,1,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,1.003067,0,0,0,0
Site 820,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-156087,-122.688784,45.534330,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,41,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.5879,41,18-44,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,1,0,-0.824917,0,0,0,0
Site 821,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,26-140564,-122.508076,45.522270,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,20,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.4179,20,18-44,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,-1.725525,0,0,0,0
Site 822,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-190686,-122.617465,45.480626,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,23,1,1,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,0.9985,23,18-44,FEMALE,1,ambulant_impaired_no_aid,1,1,1,0,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,0,0,0.173180,0,0,0,0
Site 823,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-112755,-122.557577,45.534358,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,50,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.6485,50,45-64,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,0,0,-1.536208,0,0,0,0
Site 824,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-112967,-122.706548,45.476037,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,19,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.3683,19,18-44,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,0,1,0,1.687689,0,0,0,0
Site 825,sim-20260730-020543-seed42,495d845a083bd4d362fd093f9acb64f455347c1b,42,9978eac662e3,25-190565,-122.644393,45.529059,,no,,,,,,0.00,,336.35,984.75,153039.2575,0.0000,153039.2575,306.0000,51,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E20_severe_counterfactual_over_D_need_based_admission,1.7015,51,45-64,MALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,93353.9471,1.000,93353.9471,0,,1,1,0,-0.042918,0,0,0,0
