agent_id,sim_id,commit,random_seed,data_version,starting_encampment,start_lon,start_lat,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,chronic_physical,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score,aware_initial,aware_tick,heavy_belongings,has_pet,has_dependents,theta_z,blockages_encountered,push_throughs,reroutes,stuck_events
Site 4759,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-222259,-122.556570,45.494927,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,41,1,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.6065,41,18-44,MALE,0,unimpaired,1,0,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-2.803817,0,0,0,0
Site 4760,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-201677,-122.587397,45.573230,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,56,1,1,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3370,56,45-64,MALE,0,unimpaired,1,1,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.316263,0,0,0,0
Site 4761,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-212424,-122.588754,45.535969,Beacon_Village,yes,720,2020-09-07T12:00,750,2020-09-07T12:30,30.0,1347.46,1289.41,28.27,31.75,353.3867,12.5250,353.3867,0.0000,72,1,0,1.000,1.000,SHELTERED,1289.41,58.05,0,E18_severe_counterfactual_over_A_present_day,0.7431,72,65+,MALE,1,ambulant_impaired_no_aid,1,0,1,1,1,8.1300,0.6504,228.2161,1.000,228.2161,1,0,0,0,0,0.543322,0,0,0,0
Site 4762,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-201553,-122.683151,45.595540,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,58,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.5531,58,45-64,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,1,0,0,-0.310407,0,0,0,0
Site 4763,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-140369,-122.581380,45.481190,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,82,1,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.7790,82,65+,OTHER,0,unimpaired,1,0,1,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.393490,0,0,0,0
Site 4764,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-178869,-122.494966,45.504574,Menlo_Park_SRV,yes,4020,2020-09-09T19:00,4101,2020-09-09T20:21,81.0,5104.21,5102.94,70.52,497.25,4819.9875,130.4033,4819.9875,25.3667,89,0,0,1.000,1.000,SHELTERED,5102.94,1.27,0,E18_severe_counterfactual_over_A_present_day,1.0478,89,65+,MALE,0,unimpaired,0,0,0,0,1,43.0570,0.6299,3071.8997,1.000,3071.8997,1,0,0,0,0,-0.031130,0,0,0,0
Site 4765,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-145506,-122.657553,45.535375,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,37,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.1810,37,18-44,MALE,0,unimpaired,0,0,0,0,0,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-1.647820,0,0,0,0
Site 4766,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-102069,-122.537676,45.502310,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,80,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.5032,80,65+,MALE,1,ambulant_impaired_no_aid,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-1.009587,0,0,0,0
Site 4767,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-134490,-122.567140,45.519360,Laurelwood_Center,yes,6600,2020-09-11T14:00,6676,2020-09-11T15:16,76.0,5987.74,1027.82,325.45,1328.80,36212.2875,1077.1775,36212.2875,68.2833,63,0,0,1.000,1.000,SHELTERED,5949.64,38.10,3,E18_severe_counterfactual_over_A_present_day,1.3267,63,45-64,FEMALE,0,unimpaired,0,0,0,0,1,69.1520,0.6215,23177.4446,1.000,23177.4446,1,0,0,1,0,0.961555,0,0,0,0
Site 4768,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,26-129810,-122.550247,45.478272,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,43,1,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,0.9238,43,18-44,FEMALE,1,ambulant_impaired_no_aid,1,0,1,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,0.581721,0,0,0,0
Site 4769,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-222054,-122.520892,45.526456,Menlo_Park_SRV,yes,1020,2020-09-07T17:00,1042,2020-09-07T17:22,22.0,1750.00,1748.71,65.43,365.95,1136.3783,120.0283,1136.3783,3.3833,52,1,0,1.000,1.000,SHELTERED,1748.71,1.28,0,E18_severe_counterfactual_over_A_present_day,1.3118,52,45-64,MALE,0,unimpaired,1,0,1,0,1,10.9640,0.6313,814.4194,1.000,814.4194,1,0,1,0,0,0.409569,0,0,0,0
Site 4770,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-102156,-122.608670,45.477714,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,43,0,0,1.000,1.000,PRE_EVAC,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.4609,43,18-44,FEMALE,0,unimpaired,0,0,0,1,1,277.5500,0.6100,236630.0832,1.000,236630.0832,1,0,0,0,0,-0.864643,0,0,0,0
Site 4771,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-145303,-122.675900,45.527342,,no,,,,,,0.00,,852.57,2496.10,387918.1692,0.0000,387918.1692,342.0000,59,0,0,1.000,1.000,UNAWARE,0.00,0.00,0,E18_severe_counterfactual_over_A_present_day,1.3969,59,45-64,FEMALE,0,unimpaired,0,0,0,0,1,277.5500,0.6100,236630.0832,1.000,236630.0832,0,,0,0,0,-0.703799,0,0,0,0
Site 4772,sim-20260730-032037-seed42,257017dd865031b8116de3093e9011dc8429f237,42,1452dc1cb369,25-145153,-122.556427,45.508870,Harrison_Community_Villa,yes,3300,2020-09-09T07:00,3327,2020-09-09T07:27,27.0,2046.87,2042.53,69.31,497.25,3843.2275,46.8000,3843.2275,14.4667,43,0,0,1.000,1.000,SHELTERED,2042.53,4.34,0,E18_severe_counterfactual_over_A_present_day,1.2285,43,18-44,FEMALE,0,unimpaired,0,0,0,1,1,34.2790,0.6182,2391.6368,1.000,2391.6368,1,0,0,0,0,0.861497,0,0,0,0
