agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 606,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-145307,CJ,yes,4740,2020-09-10T07:00,5842.0,2020-09-11T01:22,1102.0,15545.1,6840.31,53.6,299.55,5219.3275,457.4225,5219.3275,24.3833,58,1,0,1.0,1.0,SHELTERED,15409.67,135.43,0,A_current_placement,1.7375,58,55-69,FEMALE,0,unimpaired,1,0,1,1
Site 627,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201711,CJ,yes,4740,2020-09-10T07:00,5843.0,2020-09-11T01:23,1103.0,10852.85,2282.2,53.64,299.55,5224.0283,417.4,5224.0283,24.4,35,0,1,1.0,1.0,SHELTERED,10851.56,1.29,0,A_current_placement,1.7051,35,25-54,MALE,0,unimpaired,0,1,1,1
Site 628,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-145303,OCC,yes,4740,2020-09-10T07:00,4752.0,2020-09-10T07:12,12.0,1522.72,1497.66,17.25,112.1,1366.0542,11.95,1366.0542,6.2167,55,0,0,1.0,1.0,SHELTERED,1497.66,25.07,0,A_current_placement,2.018,55,55-69,MALE,0,unimpaired,0,0,0,1
Site 643,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-112905,OCC,yes,4740,2020-09-10T07:00,4751.0,2020-09-10T07:11,11.0,706.3,680.41,17.24,112.1,1365.0583,10.9542,1365.0583,6.2,29,0,1,1.0,1.0,SHELTERED,680.41,25.89,0,A_current_placement,1.0154,29,25-54,FEMALE,0,unimpaired,0,1,1,1
Site 664,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-123840,OCC,yes,4740,2020-09-10T07:00,4747.0,2020-09-10T07:07,7.0,641.64,600.76,17.2,112.1,1361.075,6.9708,1361.075,6.1333,28,0,0,1.0,1.0,SHELTERED,600.76,40.88,0,A_current_placement,1.3597,28,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 665,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-129941,OCC,yes,4740,2020-09-10T07:00,4754.0,2020-09-10T07:14,14.0,1442.96,1424.95,17.27,112.1,1368.0458,13.9417,1368.0458,6.25,42,0,0,1.0,1.0,SHELTERED,1424.95,18.01,0,A_current_placement,1.6146,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 666,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-156639,OCC,yes,4740,2020-09-10T07:00,4755.0,2020-09-10T07:15,15.0,1161.12,1147.49,17.27,112.1,1369.0417,14.9375,1369.0417,6.2667,29,0,0,1.0,1.0,SHELTERED,1147.49,13.64,0,A_current_placement,1.2782,29,25-54,OTHER,0,unimpaired,0,0,0,0
Site 676,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-201738,OCC,yes,4740,2020-09-10T07:00,4751.0,2020-09-10T07:11,11.0,952.96,951.72,17.24,112.1,1365.0583,10.9542,1365.0583,6.2,53,0,0,1.0,1.0,SHELTERED,951.72,1.25,0,A_current_placement,1.4429,53,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 680,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,25-102148,OCC,yes,4740,2020-09-10T07:00,4746.0,2020-09-10T07:06,6.0,761.03,709.92,17.19,112.1,1360.0792,5.975,1360.0792,6.1167,35,0,0,1.0,1.0,SHELTERED,709.92,51.12,0,A_current_placement,1.8981,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 682,sim-20260725-224029-seed42,b6bf2af5d105b742507cc0c22adcd392bc55c717,42,0bc943324ae6,26-149804,CJ,yes,4740,2020-09-10T07:00,5844.0,2020-09-11T01:24,1104.0,14065.5,5494.9,53.68,299.55,5228.7292,452.9717,5228.7292,24.4167,52,0,1,1.0,1.0,SHELTERED,14064.26,1.24,0,A_current_placement,1.6987,52,25-54,MALE,0,unimpaired,0,1,1,1
