Scenario,Shelter,Name,Longitude,Latitude,Beds,People inside at the end,People turned away at this door,How full (%),Average walk of people who got in (m)
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,50,31,100.0,359.51
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,92,47,100.0,18084.28
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,99,167,100.0,1413.13
"C - Existing shelters a bit bigger, plus 10 new ones in better places",BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,63,261,100.0,372.45
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,57,5,100.0,549.79
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,135,53,100.0,729.25
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,82,398,100.0,647.28
"C - Existing shelters a bit bigger, plus 10 new ones in better places",Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,99,76,100.0,995.78
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),-122.684239,45.525066,350,350,99,100.0,3597.26
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),-122.674314,45.514205,350,350,58,100.0,2748.64
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),-122.685357,45.536118,349,349,121,100.0,2175.53
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),-122.544555,45.489718,349,349,170,100.0,1887.10
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),-122.574416,45.540881,349,349,573,100.0,4514.35
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),-122.686929,45.585790,349,349,183,100.0,13197.33
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),-122.675258,45.500394,349,349,88,100.0,3627.81
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),-122.571918,45.465833,349,349,349,100.0,1872.20
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),-122.543241,45.555387,349,349,361,100.0,3719.80
"C - Existing shelters a bit bigger, plus 10 new ones in better places",NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),-122.673484,45.519995,349,349,195,100.0,1728.19
