agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 1534,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-156057,OPT1,yes,4740,2020-09-10T07:00,4759,2020-09-10T07:19,19.0,1779.53,1755.46,17.31,112.10,1373.0250,18.9208,1373.0250,6.3333,30,0,0,1.000,1.000,SHELTERED,1755.46,24.08,0,B_placement_optimized,1.4864,30,25-54,MALE,0,unimpaired,0,0,0,0,48.7030,0.6140,856.6553,1.000,856.6553
Site 1535,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-102493,OPT1,yes,4740,2020-09-10T07:00,4822,2020-09-10T08:22,82.0,6421.95,6264.62,17.90,112.10,1438.3692,84.2650,1438.3692,7.3833,39,0,0,1.000,1.000,SHELTERED,6264.62,157.33,0,B_placement_optimized,1.2987,39,25-54,OTHER,0,unimpaired,0,0,0,0,50.4040,0.6272,962.5128,1.000,962.5128
Site 1536,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-222243,OPT2,yes,4740,2020-09-10T07:00,5800,2020-09-11T00:40,1060.0,12184.24,10065.01,51.94,299.55,5020.4992,440.5975,5020.4992,23.6833,44,0,0,1.000,1.000,SHELTERED,12158.84,25.41,0,B_placement_optimized,0.8608,44,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1,62.9393,0.6511,3507.5080,1.000,3507.5080
Site 1537,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-119583,OPT1,yes,4740,2020-09-10T07:00,4786,2020-09-10T07:46,46.0,3117.62,3116.35,17.55,112.10,1399.9125,45.8083,1399.9125,6.7833,58,0,0,1.000,1.000,SHELTERED,3116.35,1.28,0,B_placement_optimized,1.1247,58,55-69,FEMALE,0,unimpaired,0,0,0,1,49.4320,0.6197,900.2130,1.000,900.2130
Site 1538,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-109714,OPT1,yes,4740,2020-09-10T07:00,4794,2020-09-10T07:54,54.0,5994.82,5931.82,17.62,112.10,1407.8792,53.7750,1407.8792,6.9167,32,0,0,1.000,1.000,SHELTERED,5931.82,62.99,0,B_placement_optimized,1.8361,32,25-54,MALE,0,unimpaired,0,0,0,0,49.6480,0.6214,913.1190,1.000,913.1190
Site 1539,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-134604,OPT1,yes,4740,2020-09-10T07:00,4772,2020-09-10T07:32,32.0,2241.86,2219.01,17.43,112.10,1385.9708,31.8667,1385.9708,6.5500,80,0,0,1.000,1.000,SHELTERED,2219.01,22.84,0,B_placement_optimized,1.1491,80,70+,MALE,0,unimpaired,0,0,0,1,49.0540,0.6168,877.6275,1.000,877.6275
Site 1540,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-134248,OPT1,yes,4740,2020-09-10T07:00,4777,2020-09-10T07:37,37.0,3495.88,3453.84,17.47,112.10,1390.9500,36.8458,1390.9500,6.6333,38,0,0,1.000,1.000,SHELTERED,3453.84,42.03,0,B_placement_optimized,1.5555,38,25-54,MALE,0,unimpaired,0,0,0,0,49.1890,0.6178,885.6938,1.000,885.6938
Site 1541,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,26-129716,OPT1,yes,4740,2020-09-10T07:00,4836,2020-09-10T08:36,96.0,6801.41,6782.50,18.04,112.10,1453.8975,99.7933,1453.8975,7.6167,27,0,1,1.000,1.000,SHELTERED,6782.50,18.92,0,B_placement_optimized,1.1690,27,25-54,FEMALE,1,ambulant_impaired_no_aid,0,1,1,1,50.7820,0.6300,987.6687,1.000,987.6687
Site 1542,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-221864,OPT2,yes,4740,2020-09-10T07:00,5785,2020-09-11T00:25,1045.0,13538.92,11431.33,51.33,299.55,4948.8867,281.8033,4948.8867,23.4333,54,0,1,1.000,1.000,SHELTERED,13525.16,13.76,0,B_placement_optimized,1.3434,54,25-54,MALE,0,unimpaired,0,1,1,1,61.6253,0.6392,3303.4422,1.000,3303.4422
Site 1543,sim-20260726-011342-seed42,02c3181139f28f198bf64170b7a588152b9fa637,42,bd3f93ef082a,25-212352,OPT2,yes,4740,2020-09-10T07:00,5791,2020-09-11T00:31,1051.0,8889.58,6794.46,51.57,299.55,4977.5317,255.5567,4977.5317,23.5333,60,0,0,1.000,1.000,SHELTERED,8888.28,1.30,0,B_placement_optimized,1.1064,60,55-69,MALE,0,unimpaired,0,0,0,1,61.1308,0.6334,3294.4065,1.000,3294.4065
