shelter_id,name,address,city,state,zip,lon,lat,capacity,capacity_basis,opened,closed,status,coord_source,coord_confidence,facility_type,provider,closure_date,priority_vulnerable,raw_capacity,raw_unit
Lilac_Meadows,Lilac Meadows,7740 SE Powell Blvd,Portland,OR,,-122.583071,45.496970,545,BED_SWEEP_s140_capacity_127x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,family,Our Just Future,,0,39,rooms
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.688141,45.522468,129,BED_SWEEP_s140_capacity_30x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,youth,Janus Youth Programs,,0,30,beds
Street_Light_Youth_Shelt,Street Light Youth Shelter,1635 SW Alder St,Portland,OR,,-122.688141,45.522468,129,BED_SWEEP_s140_capacity_30x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,youth,Janus Youth Programs,,0,30,beds
Behavioral_Health_Resour,Behavioral Health Resource Center,333 SW Park Ave,Portland,OR,,-122.679643,45.521959,141,BED_SWEEP_s140_capacity_33x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_hsd_2026_address,geocoded_street_address,other,Do Good Multnomah,,0,33,beds
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,9827 NE Sunderland Ave,Portland,OR,,-122.635896,45.595053,262,BED_SWEEP_s140_capacity_61x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland / Urban Alchemy,,0,55,units
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,6631 N Syracuse St,Portland,OR,,-122.735946,45.583354,283,BED_SWEEP_s140_capacity_66x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland,,0,60,units
BIPOC_SRV,BIPOC Safe Rest Village,84 NE Weidler St,Portland,OR,,-122.665928,45.534443,180,BED_SWEEP_s140_capacity_42x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,village,City of Portland,,0,38,units
Queer_Affinity_Village,Queer Affinity Safe Rest Village,2300 SW Naito Pkwy,Portland,OR,,-122.677686,45.506081,163,BED_SWEEP_s140_capacity_38x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_block_level,village,City of Portland,,0,35,units
Doreens_Place,Doreen's Place (Transition Projects),610 NW Broadway,Portland,OR,,-122.677480,45.527488,386,BED_SWEEP_s140_capacity_90x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_street_address,congregate,Transition Projects,,0,90,beds
Menlo_Park_SRV,Menlo Park Safe Rest Village,NE 122nd Ave & E Burnside St,Portland,OR,,-122.537593,45.522410,236,BED_SWEEP_s140_capacity_55x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_intersection_approximated_to_block,village,City of Portland,,0,50,units
Reedway_SRV,Reedway Safe Rest Village,SE 106th Ave & SE Reedway St,Portland,OR,,-122.606664,45.481822,283,BED_SWEEP_s140_capacity_66x4.2878_target_9579_real_location_unchanged,2020-09-07,2020-09-19,operating,nominatim_osm_from_recovered_city_address,geocoded_block_level,village,City of Portland / Urban Alchemy,,0,60,units
