agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals
Site 286,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-140437,,no,960,2020-09-07T16:00,,,,13066.48,13052.82,173.09,562.70,54002.8192,246.4733,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13052.82,13.66,1
Site 287,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-109739,,no,960,2020-09-07T16:00,,,,11303.08,2691.20,173.09,562.70,54002.8192,205.3700,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11260.56,42.52,2
Site 288,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-178707,,no,960,2020-09-07T16:00,,,,10284.32,1676.47,173.09,562.70,54002.8192,179.2133,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10245.83,38.49,2
Site 289,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112836,,no,960,2020-09-07T16:00,,,,4402.93,4401.67,173.09,562.70,54002.8192,78.3750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4401.67,1.25,1
Site 290,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-123896,,no,960,2020-09-07T16:00,,,,12099.22,3493.62,173.09,562.70,54002.8192,224.0533,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12062.98,36.24,2
Site 291,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112764,,no,960,2020-09-07T16:00,,,,13990.88,13965.08,173.09,562.70,54002.8192,268.0842,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13965.08,25.80,1
Site 292,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-129843,,no,960,2020-09-07T16:00,,,,11899.68,3311.32,173.09,562.70,54002.8192,218.4483,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11880.68,19.00,2
Site 293,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-129806,,no,960,2020-09-07T16:00,,,,9144.20,9142.92,173.09,562.70,54002.8192,153.6950,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,9142.92,1.27,1
Site 294,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-156313,,no,960,2020-09-07T16:00,,,,10510.07,1919.63,173.09,562.70,54002.8192,184.8183,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10488.99,21.08,2
Site 295,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-129883,,no,960,2020-09-07T16:00,,,,10760.48,2189.85,173.09,562.70,54002.8192,192.2917,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10759.21,1.27,2
Site 296,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-145012,,no,960,2020-09-07T16:00,,,,6748.12,6616.61,173.09,562.70,54002.8192,115.5650,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,6616.61,131.51,1
Site 297,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-134510,,no,960,2020-09-07T16:00,,,,10629.88,10628.57,173.09,562.70,54002.8192,188.5550,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10628.57,1.31,1
Site 298,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-149983,,no,960,2020-09-07T16:00,,,,11696.85,11695.62,173.09,562.70,54002.8192,212.8433,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11695.62,1.23,1
Site 299,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-134347,,no,960,2020-09-07T16:00,,,,12204.38,12169.12,173.09,562.70,54002.8192,225.9217,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12169.12,35.26,1
Site 300,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-222100,,no,960,2020-09-07T16:00,,,,13234.77,13198.00,173.09,562.70,54002.8192,250.2100,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13198.00,36.77,1
Site 301,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-102367,,no,960,2020-09-07T16:00,,,,10848.42,2244.49,173.09,562.70,54002.8192,194.1600,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10813.85,34.57,2
Site 302,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-190464,,no,960,2020-09-07T16:00,,,,4432.28,4406.41,173.09,562.70,54002.8192,78.3750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4406.41,25.87,1
Site 303,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-119720,OCC,yes,960,2020-09-07T16:00,971,2020-09-07T16:11,11.0,906.00,871.79,10.00,82.50,161.9083,15.1250,161.9083,0.2000,,,,1.000,1.000,SHELTERED,871.79,34.21,0
Site 304,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-102062,,no,960,2020-09-07T16:00,,,,6960.99,6823.64,173.09,562.70,54002.8192,119.2550,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,6823.64,137.35,1
Site 305,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-130189,,no,960,2020-09-07T16:00,,,,3703.96,3672.95,173.09,562.70,54002.8192,66.0000,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,3672.95,31.01,1
Site 306,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112910,,no,960,2020-09-07T16:00,,,,11779.57,3176.75,173.09,562.70,54002.8192,216.5800,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11746.11,33.47,2
Site 307,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-201231,,no,960,2020-09-07T16:00,,,,11574.32,2987.97,173.09,562.70,54002.8192,210.9750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11557.33,17.00,2
Site 308,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-134564,,no,960,2020-09-07T16:00,,,,11334.83,2764.17,173.09,562.70,54002.8192,205.3700,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11333.53,1.30,2
Site 309,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-119320,,no,960,2020-09-07T16:00,,,,16431.29,16352.54,173.09,562.70,54002.8192,300.9183,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,16352.54,78.75,1
Site 310,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-129839,,no,960,2020-09-07T16:00,,,,4543.89,4483.80,173.09,562.70,54002.8192,81.1250,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4483.80,60.09,1
Site 311,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-190367,,no,960,2020-09-07T16:00,,,,8816.87,8774.80,173.09,562.70,54002.8192,148.7750,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,8774.80,42.06,1
Site 312,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-134308,,no,960,2020-09-07T16:00,,,,11405.98,2819.54,173.09,562.70,54002.8192,207.2383,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11388.90,17.08,2
Site 313,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112591,,no,960,2020-09-07T16:00,,,,11650.28,3050.35,173.09,562.70,54002.8192,212.8433,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,11619.71,30.57,2
Site 314,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-179016,,no,960,2020-09-07T16:00,,,,6087.35,6082.30,173.09,562.70,54002.8192,105.7250,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,6082.30,5.04,1
Site 315,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-123576,,no,960,2020-09-07T16:00,,,,9721.13,9668.39,173.09,562.70,54002.8192,166.1350,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,9668.39,52.74,1
Site 316,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-178753,,no,960,2020-09-07T16:00,,,,9848.94,1266.13,173.09,562.70,54002.8192,169.8717,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,9835.49,13.45,2
Site 317,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-102370,,no,960,2020-09-07T16:00,,,,10169.54,1578.97,173.09,562.70,54002.8192,177.3450,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10148.33,21.20,2
Site 318,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-190505,,no,960,2020-09-07T16:00,,,,12170.37,12169.12,173.09,562.70,54002.8192,225.9217,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12169.12,1.25,1
Site 319,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-123841,,no,960,2020-09-07T16:00,,,,4737.96,4733.35,173.09,562.70,54002.8192,83.5850,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,4733.35,4.62,1
Site 320,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-149747,,no,960,2020-09-07T16:00,,,,13631.68,13582.99,173.09,562.70,54002.8192,259.5517,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,13582.99,48.69,1
Site 321,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-201575,,no,960,2020-09-07T16:00,,,,3822.77,3793.14,173.09,562.70,54002.8192,68.7500,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,3793.14,29.63,1
Site 322,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-179113,OCC,yes,960,2020-09-07T16:00,973,2020-09-07T16:13,13.0,1058.63,1028.57,10.15,82.50,164.6583,17.8750,164.6583,0.2333,,,,1.000,1.000,SHELTERED,1028.57,30.05,0
Site 323,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-178863,,no,960,2020-09-07T16:00,,,,12110.02,3489.98,173.09,562.70,54002.8192,224.0533,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,12059.34,50.68,2
Site 324,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-102178,,no,960,2020-09-07T16:00,,,,10648.19,10566.39,173.09,562.70,54002.8192,188.5550,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10566.39,81.80,1
Site 325,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,26-109438,,no,960,2020-09-07T16:00,,,,7801.19,7727.78,173.09,562.70,54002.8192,132.7850,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,7727.78,73.41,1
Site 326,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-179187,,no,960,2020-09-07T16:00,,,,10197.95,10148.51,173.09,562.70,54002.8192,177.3450,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,10148.51,49.44,1
Site 327,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-222132,,no,960,2020-09-07T16:00,,,,8187.94,8172.07,173.09,562.70,54002.8192,137.7050,54002.8192,194.0000,,,,1.000,1.000,REFUSED_ALL_FULL,8172.07,15.87,1
Site 328,sim-20260725-220449-seed42,83d721b7e796a803ae86e8942531b7f7e03db038,42,0bc943324ae6,25-112963,CJ,yes,960,2020-09-07T16:00,985,2020-09-07T16:25,25.0,2026.28,1979.09,11.04,82.50,181.1583,34.3750,181.1583,0.4333,,,,1.000,1.000,SHELTERED,1979.09,47.19,0
