agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag,air_volume_breathed_m3,mean_ventilation_m3h,inhaled_dose_ug,health_risk_multiplier,health_risk_score
Site 464,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-179008,,no,4740,2020-09-10T07:00,,,,18106.04,9501.67,173.09,562.70,54002.8192,703.7092,54002.8192,194.0000,58,0,1,1.000,1.000,REFUSED_ALL_FULL,18071.03,35.01,1,HISTORICAL_capacity_reference_not_a_scenario,1.2187,58,55-69,MALE,1,ambulant_impaired_no_aid,0,1,1,1,194.5115,0.6234,33652.4660,1.000,33652.4660
Site 465,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-178839,OCC,yes,4740,2020-09-10T07:00,4752,2020-09-10T07:12,12.0,1172.99,1147.80,17.25,112.10,1366.0542,11.9500,1366.0542,6.2167,44,0,0,1.000,1.000,SHELTERED,1147.80,25.19,0,HISTORICAL_capacity_reference_not_a_scenario,1.5330,44,25-54,MALE,0,unimpaired,0,0,0,0,48.5140,0.6126,845.3625,1.000,845.3625
Site 466,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-156455,,no,4740,2020-09-10T07:00,,,,18459.31,9837.32,173.09,562.70,54002.8192,659.6425,54002.8192,194.0000,48,0,0,1.000,1.000,REFUSED_ALL_FULL,18406.68,52.62,1,HISTORICAL_capacity_reference_not_a_scenario,1.3056,48,25-54,MALE,0,unimpaired,0,0,0,0,194.3095,0.6228,33607.9586,1.000,33607.9586
Site 467,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-130199,,no,4740,2020-09-10T07:00,,,,20737.85,11911.69,173.09,562.70,54002.8192,1232.1600,54002.8192,194.0000,27,0,0,1.000,1.000,REFUSED_ALL_FULL,20481.05,256.81,1,HISTORICAL_capacity_reference_not_a_scenario,0.7706,27,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1,197.8950,0.6343,34186.2013,1.000,34186.2013
Site 468,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-201233,OCC,yes,4740,2020-09-10T07:00,4751,2020-09-10T07:11,11.0,1029.53,1028.29,17.24,112.10,1365.0583,10.9542,1365.0583,6.2000,46,0,0,1.000,1.000,SHELTERED,1028.29,1.24,0,HISTORICAL_capacity_reference_not_a_scenario,1.4374,46,25-54,MALE,0,unimpaired,0,0,0,0,48.4870,0.6123,843.7493,1.000,843.7493
Site 469,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-102178,,no,4740,2020-09-10T07:00,,,,19217.55,10566.39,173.09,562.70,54002.8192,680.4933,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,19135.75,81.80,1,HISTORICAL_capacity_reference_not_a_scenario,1.2957,30,25-54,MALE,0,unimpaired,0,0,0,0,194.4947,0.6234,33629.0180,1.000,33629.0180
Site 470,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134308,,no,4740,2020-09-10T07:00,,,,11405.98,2819.54,173.09,562.70,54002.8192,623.1117,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,11388.90,17.08,1,HISTORICAL_capacity_reference_not_a_scenario,1.1653,46,25-54,MALE,0,unimpaired,0,0,0,0,193.0807,0.6188,33571.0625,1.000,33571.0625
Site 471,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-130218,,no,4740,2020-09-10T07:00,,,,16496.27,7874.91,173.09,562.70,54002.8192,598.8167,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,16444.27,52.00,1,HISTORICAL_capacity_reference_not_a_scenario,1.3637,39,25-54,MALE,0,unimpaired,0,0,0,0,193.7203,0.6209,33546.5245,1.000,33546.5245
Site 472,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,26-119720,OCC,yes,4740,2020-09-10T07:00,4751,2020-09-10T07:11,11.0,906.00,871.79,17.24,112.10,1365.0583,10.9542,1365.0583,6.2000,56,0,0,1.000,1.000,SHELTERED,871.79,34.21,0,HISTORICAL_capacity_reference_not_a_scenario,1.3364,56,55-69,MALE,0,unimpaired,0,0,0,1,48.4870,0.6123,843.7493,1.000,843.7493
Site 473,sim-20260726-005456-seed42,b69fc6dd10bda0810b63b69b4bb59585812306c6,42,0bc943324ae6,25-134270,,no,4740,2020-09-10T07:00,,,,15293.40,6678.11,173.09,562.70,54002.8192,654.3817,54002.8192,194.0000,30,0,0,1.000,1.000,REFUSED_ALL_FULL,15247.47,45.93,1,HISTORICAL_capacity_reference_not_a_scenario,1.2206,30,25-54,MALE,0,unimpaired,0,0,0,0,193.8550,0.6213,33602.6452,1.000,33602.6452
